2026-08-05 17:12:32,992 - INFO - goldman            @   1.0% error: recovery=100.0%, resilience/1kbp=  0.03, cost= 39597bp
2026-08-05 17:12:33,175 - INFO - goldman            @   5.0% error: recovery=100.0%, resilience/1kbp=  0.03, cost= 39597bp
2026-08-05 17:12:33,410 - INFO - goldman            @  10.0% error: recovery=100.0%, resilience/1kbp=  0.03, cost= 39597bp
2026-08-05 17:12:33,684 - INFO - goldman            @  15.0% error: recovery=100.0%, resilience/1kbp=  0.03, cost= 39597bp
2026-08-05 17:12:34,006 - INFO - goldman            @  20.0% error: recovery=100.0%, resilience/1kbp=  0.03, cost= 39597bp
2026-08-05 17:12:34,165 - INFO - church             @   1.0% error: recovery=100.0%, resilience/1kbp=  0.04, cost= 28000bp
2026-08-05 17:12:34,355 - INFO - church             @   5.0% error: recovery=100.0%, resilience/1kbp=  0.04, cost= 28000bp
2026-08-05 17:12:34,569 - INFO - church             @  10.0% error: recovery=100.0%, resilience/1kbp=  0.04, cost= 28000bp
2026-08-05 17:12:34,827 - INFO - church             @  15.0% error: recovery=100.0%, resilience/1kbp=  0.04, cost= 28000bp
2026-08-05 17:12:35,129 - INFO - church             @  20.0% error: recovery=100.0%, resilience/1kbp=  0.04, cost= 28000bp
2026-08-05 17:12:36,246 - INFO - gcplus             @   1.0% error: recovery=100.0%, resilience/1kbp=  0.02, cost= 46800bp
2026-08-05 17:12:37,383 - INFO - gcplus             @   5.0% error: recovery=100.0%, resilience/1kbp=  0.02, cost= 46800bp
2026-08-05 17:12:38,535 - INFO - gcplus             @  10.0% error: recovery=100.0%, resilience/1kbp=  0.02, cost= 46800bp
2026-08-05 17:12:39,755 - INFO - gcplus             @  15.0% error: recovery=100.0%, resilience/1kbp=  0.02, cost= 46800bp
2026-08-05 17:12:41,015 - INFO - gcplus             @  20.0% error: recovery=100.0%, resilience/1kbp=  0.02, cost= 46800bp
2026-08-05 17:12:41,554 - INFO - hedges             @   1.0% error: recovery=100.0%, resilience/1kbp=  0.01, cost=102000bp
2026-08-05 17:12:41,809 - INFO - hedges             @   5.0% error: recovery=100.0%, resilience/1kbp=  0.01, cost=102000bp
2026-08-05 17:12:42,193 - INFO - hedges             @  10.0% error: recovery=100.0%, resilience/1kbp=  0.01, cost=102000bp
2026-08-05 17:12:42,718 - INFO - hedges             @  15.0% error: recovery=100.0%, resilience/1kbp=  0.01, cost=102000bp
2026-08-05 17:12:43,388 - INFO - hedges             @  20.0% error: recovery=100.0%, resilience/1kbp=  0.01, cost=102000bp
2026-08-05 17:12:43,507 - INFO - max_density        @   1.0% error: recovery=100.0%, resilience/1kbp=  0.10, cost=  9800bp
2026-08-05 17:12:43,544 - INFO - max_density        @   5.0% error: recovery=100.0%, resilience/1kbp=  0.10, cost=  9800bp
2026-08-05 17:12:43,595 - INFO - max_density        @  10.0% error: recovery=100.0%, resilience/1kbp=  0.10, cost=  9800bp
2026-08-05 17:12:43,658 - INFO - max_density        @  15.0% error: recovery=100.0%, resilience/1kbp=  0.10, cost=  9800bp
2026-08-05 17:12:43,741 - INFO - max_density        @  20.0% error: recovery=100.0%, resilience/1kbp=  0.10, cost=  9800bp
